h	w	p
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
214	358	2
194	361	6
245	446	6
247	455	5
253	460	6
255	469	3
257	466	3
257	469	4
257	469	4
182	559	6
433	617	5
433	618	5
433	617	5
431	617	4
431	618	4
431	617	4
433	619	4
433	622	4
431	622	4
431	623	4
431	626	4
431	626	4
433	626	4
433	626	4
435	624	4
435	623	4
437	626	4
437	626	4
439	626	4
439	626	4
439	626	4
441	628	4
441	631	4
441	631	4
443	631	5
443	631	5
443	631	5
443	631	5
443	631	4
443	631	5
443	631	5
445	631	5
445	631	5
445	629	5
281	467	5
285	466	5
285	467	5
285	469	5
287	469	5
291	467	5
295	467	4
295	467	4
297	467	4
299	467	4
299	467	4
301	467	4
301	467	4
303	467	3
303	468	4
303	469	3
303	469	3
305	469	3
305	469	3
305	469	3
307	469	3
307	469	2
307	469	2
307	469	2
307	469	2
307	469	2
307	469	2
309	469	2
309	469	1
309	469	1
309	469	1
311	469	1
311	469	1
311	469	1
313	469	1
313	469	1
313	469	1
313	470	1
313	470	1
313	470	1
313	470	1
313	470	1
311	470	1
311	470	1
311	470	1
311	470	1
311	471	1
311	471	1
311	471	1
311	471	1
311	471	1
311	471	1
313	471	1
313	471	1
313	473	1
313	473	1
313	473	1
313	473	1
313	473	1
315	473	1
315	473	1
315	474	1
317	474	1
317	474	1
317	474	1
317	474	1
317	474	1
317	474	1
317	475	1
319	475	1
319	475	1
319	475	1
319	475	1
319	475	1
321	475	1
321	476	1
321	476	1
321	476	1
321	476	1
321	476	1
321	476	1
321	476	1
321	477	1
321	478	1
321	478	1
321	478	1
321	478	1
321	478	1
321	478	2
319	478	2
289	309	2
287	309	2
287	309	2
285	309	1
285	309	1
285	310	1
285	310	1
285	310	1
285	310	1
285	312	1
285	312	1
285	312	1
285	312	1
285	312	1
287	312	1
287	311	1
287	310	1
287	310	1
287	310	1
287	311	1
287	311	1
287	311	1
287	310	1
287	311	1
287	311	1
287	312	1
287	312	1
287	312	1
287	312	1
287	312	1
287	312	1
287	312	1
287	312	1
287	313	1
287	313	1
287	313	1
287	314	1
287	314	2
287	314	2
287	314	2
285	315	2
285	315	2
287	315	2
285	315	2
285	315	2
285	315	2
287	315	2
287	315	2
287	315	2
287	315	2
287	315	1
287	315	1
287	315	1
287	315	1
287	315	1
287	315	1
287	315	1
287	315	1
287	315	1
285	317	1
285	318	1
283	319	1
283	319	2
283	319	2
283	319	2
283	319	2
281	319	2
279	322	2
277	323	2
277	323	2
275	324	2
275	324	2
277	322	2
277	323	2
277	323	2
277	324	2
277	324	2
279	324	2
128	428	2
128	428	2
128	428	2
128	426	2
130	426	2
130	426	2
130	426	2
130	426	2
130	428	2
130	428	2
130	428	2
130	428	2
130	428	2
132	426	2
132	426	2
134	426	2
263	342	2
249	346	2
245	346	2
255	342	2
265	337	2
269	333	2
261	337	2
255	337	2
255	336	2
261	332	2
267	328	2
271	323	2
273	318	2
275	313	2
275	313	2
277	310	2
277	310	2
277	310	2
277	310	2
233	335	3
229	337	1
225	341	1
223	342	1
221	346	1
219	348	1
216	350	1
214	351	1
211	352	1
210	354	1
208	355	1
207	355	1
207	356	1
207	357	1
207	357	1
206	358	1
206	358	1
205	358	1
205	359	1
205	359	1
204	359	1
204	360	1
204	360	1
204	361	1
204	361	1
206	362	1
206	362	1
206	362	1
206	363	1
206	363	1
206	364	1
206	365	1
206	365	1
206	365	1
205	365	1
206	366	1
206	367	1
204	366	1
204	367	1
204	367	1
202	368	1
200	368	1
199	369	1
198	370	1
197	371	1
196	372	1
194	374	1
191	376	1
188	379	1
186	383	1
184	388	1
182	390	1
180	392	1
178	393	1
176	394	1
176	397	1
176	397	1
174	397	1
174	397	1
174	397	1
172	397	1
174	395	1
174	394	1
174	393	1
174	393	1
174	392	1
174	390	1
174	388	1
174	388	1
176	385	1
178	383	1
178	380	1
178	379	1
178	376	1
178	375	1
178	374	1
178	371	1
176	370	1
176	370	1
176	368	1
176	368	1
176	367	1
176	367	1
176	367	1
174	366	1
176	366	1
174	366	1
174	366	1
174	366	1
174	366	1
174	366	1
174	366	1
174	366	1
174	366	1
174	366	1
174	366	1
172	366	1
172	366	1
174	366	1
174	366	1
174	366	1
172	367	1
172	367	1
172	366	1
172	366	1
172	367	1
172	367	1
170	367	1
170	367	1
168	366	1
168	366	1
168	367	1
166	366	1
166	366	1
164	366	1
162	367	1
160	366	1
160	366	1
160	366	1
160	366	1
160	367	1
162	367	1
162	367	1
162	367	1
162	367	1
162	370	1
162	371	1
162	372	1
160	372	1
160	374	1
158	371	1
158	370	1
156	368	1
156	368	1
154	368	1
154	368	1
152	367	1
150	365	1
150	365	1
148	365	1
148	366	1
148	365	1
146	363	1
146	363	1
146	363	1
146	363	1
146	365	1
144	363	1
144	365	1
144	365	1
144	365	1
146	365	1
146	365	1
146	366	1
146	367	1
148	367	1
148	368	1
148	368	1
150	370	1
150	370	1
152	370	1
152	370	1
152	370	1
154	370	1
156	370	1
158	370	1
158	370	1
158	370	1
158	370	1
160	370	1
160	368	1
158	368	1
160	368	1
160	367	1
160	366	1
162	366	1
162	365	1
162	365	1
164	364	1
164	363	1
164	362	1
166	364	1
168	365	1
170	365	1
174	366	1
176	367	1
178	368	1
182	370	1
184	370	1
186	371	1
188	371	1
190	372	1
190	374	1
190	374	1
192	375	1
192	375	1
192	376	1
192	375	1
192	375	1
192	375	1
192	376	1
192	376	1
192	377	1
192	379	1
192	379	1
191	379	1
190	379	1
190	381	1
190	383	1
190	383	1
190	383	1
190	383	1
190	384	1
190	384	1
190	384	1
