onset	duration	onset_frame
0.000	4.204	1
4.204	4.605	127
8.809	7.774	265
16.583	3.237	498
19.820	2.536	595
22.356	2.769	671
25.125	1.668	754
26.793	3.003	804
29.796	2.870	894
32.666	1.869	980
34.535	6.773	1036
41.308	2.603	1239
43.911	1.301	1317
45.212	1.502	1356
46.713	1.535	1401
48.248	3.470	1447
51.718	3.871	1551
55.589	6.907	1667
62.496	3.136	1874
65.632	4.638	1968
70.270	20.053	2107
90.324	1.668	2708
91.992	2.135	2758
94.127	2.569	2822
96.697	1.435	2899
98.131	1.235	2942
99.366	2.536	2979
101.902	1.034	3055
102.936	4.404	3086
107.341	9.276	3218
116.617	4.738	3496
121.355	3.370	3638
124.725	1.568	3739
126.293	1.969	3786
128.261	6.306	3845
134.568	5.572	4034
140.140	2.169	4201
142.309	3.070	4266
145.379	3.537	4358
148.915	1.802	4464
150.717	1.335	4518
152.052	1.502	4558
153.553	2.269	4603
155.822	2.769	4671
158.592	10.344	4754
168.935	1.702	5064
170.637	6.206	5115
176.843	1.835	5301
178.679	16.183	5356
194.861	1.835	5841
196.697	26.994	5896
223.690	6.006	6705
229.696	4.004	6885
233.700	2.402	7005
236.103	18.085	7077
254.187	7.641	7619
261.828	5.239	7848
267.067	2.336	8005
269.402	3.237	8075
272.639	2.469	8172
275.108	2.636	8246
277.744	9.176	8325
286.920	4.137	8600
291.057	1.635	8724
292.692	2.035	8773
294.728	2.736	8834
297.464	5.439	8916
302.903	1.735	9079
304.638	2.536	9131
307.174	4.371	9207
311.545	2.836	9338
314.381	4.204	9423
318.585	3.337	9549
321.922	13.347	9649
335.268	1.268	10049
336.536	1.869	10087
338.405	0.767	10143
339.172	2.369	10166
341.541	1.869	10237
343.410	2.069	10293
345.478	4.438	10355
349.916	1.301	10488
351.218	3.637	10527
354.855	2.769	10636
357.624	1.702	10719
359.326	8.408	10770
367.734	1.401	11022
369.135	5.272	11064
374.407	4.404	11222
378.812	1.368	11354
380.180	6.540	11395
386.720	3.570	11591
390.290	8.242	11698
398.531	1.768	11945
400.300	17.584	11998
417.884	3.937	12525
421.821	3.504	12643
425.325	4.538	12748
429.863	2.603	12884
432.465	11.078	12962
443.543	1.368	13294
444.911	3.504	13335
448.415	2.536	13440
450.951	5.172	13516
456.122	2.269	13671
458.391	1.869	13739
460.260	4.171	13795
464.431	1.301	13920
465.732	3.103	13959
468.835	5.873	14052
474.708	3.203	14228
477.911	0.968	14324
478.878	4.037	14353
482.916	7.541	14474
490.457	3.437	14700
493.893	4.605	14803
498.498	3.670	14941
502.168	4.104	15051
506.272	3.270	15174
509.542	3.036	15272
512.579	5.272	15363
517.851	5.105	15521
522.956	2.769	15674
525.725	2.536	15757
528.261	6.306	15833
534.567	1.502	16022
536.069	6.106	16067
542.175	2.569	16250
544.744	3.770	16327
548.515	2.402	16440
550.917	2.336	16512
553.253	9.943	16582
563.196	1.235	16880
564.431	8.141	16917
572.572	1.735	17161
574.307	4.805	17213
579.112	10.277	17357
589.389	2.402	17665
591.791	5.038	17737
596.830	2.903	17888
599.732	9.142	17975
608.875	1.768	18249
610.643	14.581	18302
625.225	9.443	18739
634.667	5.105	19022
639.772	3.170	19175
642.942	3.971	19270
646.913	5.005	19389
651.918	3.370	19539
655.288	2.603	19640
657.891	1.535	19718
659.425	6.506	19764
665.932	10.911	19959
676.843	3.570	20286
680.413	3.470	20393
683.883	2.703	20497
686.586	2.369	20578
688.955	2.736	20649
691.691	4.137	20731
695.828	1.134	20855
696.963	3.971	20889
700.934	0.801	21008
701.734	6.073	21032
707.807	7.708	21214
715.515	1.034	21445
716.549	17.084	21476
733.633	2.069	21988
735.702	2.803	22050
738.504	2.269	22134
740.773	0.601	22202
741.374	1.401	22220
742.775	1.268	22262
744.043	2.636	22300
746.679	2.102	22379
748.781	2.502	22442
751.284	3.003	22517
754.287	8.709	22607
