onset	duration	onset_frame
0.000	8.141	1
8.141	2.269	245
10.410	1.802	313
12.212	4.171	367
16.383	1.869	492
18.252	1.835	548
20.087	7.407	603
27.494	1.535	825
29.029	5.305	871
34.334	3.103	1030
37.437	0.767	1123
38.205	1.668	1146
39.873	1.335	1196
41.208	1.969	1236
43.176	1.869	1295
45.045	2.169	1351
47.214	2.269	1416
49.483	2.870	1484
52.352	5.105	1570
57.457	1.401	1723
58.859	2.970	1765
61.828	3.237	1854
65.065	1.068	1951
66.133	1.134	1983
67.267	1.034	2017
68.302	0.767	2048
69.069	1.502	2071
70.570	0.934	2116
71.505	1.201	2144
72.706	1.168	2180
73.874	0.834	2215
74.708	0.868	2240
75.576	0.767	2266
76.343	1.168	2289
77.511	1.034	2324
78.545	0.968	2355
79.513	1.301	2384
80.814	1.201	2423
82.015	1.068	2459
83.083	1.034	2491
84.117	1.068	2522
85.185	1.235	2554
86.420	1.001	2591
87.421	0.767	2621
88.188	0.934	2644
89.122	1.735	2672
90.857	9.276	2724
100.133	2.336	3002
102.469	2.002	3072
104.471	7.774	3132
112.245	1.301	3365
113.547	3.637	3404
117.184	4.204	3513
121.388	2.369	3639
123.757	3.003	3710
126.760	3.770	3800
130.530	2.569	3913
133.100	8.342	3990
141.441	2.169	4240
143.610	1.535	4305
145.145	3.971	4351
149.116	7.908	4470
157.024	1.368	4707
158.392	1.301	4748
159.693	8.475	4787
168.168	2.002	5041
170.170	2.769	5101
172.939	2.736	5184
175.675	6.139	5266
181.815	1.969	5450
183.784	1.468	5509
185.252	4.638	5553
189.890	9.977	5692
199.866	4.271	5991
204.137	5.072	6119
209.209	3.770	6271
212.979	9.243	6384
222.222	2.069	6661
224.291	3.637	6723
227.928	1.602	6832
229.529	1.368	6880
230.897	4.972	6921
235.869	8.876	7070
244.745	5.939	7336
250.684	3.537	7514
254.221	3.136	7620
257.357	8.008	7714
265.365	2.035	7954
267.400	3.070	8015
270.470	5.839	8107
276.309	2.536	8282
278.845	5.105	8358
283.950	2.069	8511
286.019	4.338	8573
290.357	5.138	8703
295.495	3.804	8857
299.299	6.240	8971
305.539	2.135	9158
307.674	4.271	9222
311.945	7.774	9350
319.719	3.403	9583
323.123	1.034	9685
324.157	1.468	9716
325.625	1.134	9760
326.760	1.068	9794
327.827	5.105	9826
332.933	1.768	9979
334.701	0.834	10032
335.535	0.634	10057
336.169	2.970	10076
339.139	5.239	10165
344.377	2.302	10322
346.680	8.275	10391
354.955	5.005	10639
359.960	2.402	10789
362.362	4.137	10861
366.499	3.403	10985
369.903	3.237	11087
373.139	2.336	11184
375.475	2.202	11254
377.677	6.106	11320
383.783	9.076	11503
392.859	3.971	11775
396.830	5.606	11894
402.435	1.335	12062
403.770	3.670	12102
407.440	1.635	12212
409.075	4.972	12261
414.047	2.469	12410
416.516	3.904	12484
420.420	1.969	12601
422.389	1.568	12660
423.957	1.134	12707
425.091	2.736	12741
427.827	1.301	12823
429.129	2.035	12862
431.164	25.559	12923
456.723	2.669	13689
459.392	1.268	13769
460.660	1.001	13807
461.661	0.701	13837
462.362	1.435	13858
463.797	1.101	13901
464.898	3.036	13934
467.934	1.635	14025
469.569	1.602	14074
471.171	1.702	14122
472.872	2.236	14173
475.108	1.635	14240
476.743	4.938	14289
481.681	8.108	14437
489.789	4.505	14680
494.294	12.946	14815
507.240	2.469	15203
509.709	3.003	15277
512.712	7.207	15367
519.919	11.111	15583
531.030	5.272	15916
536.302	6.373	16074
542.675	1.401	16265
544.077	7.074	16307
551.151	2.236	16519
553.386	6.173	16586
559.559	3.737	16771
563.296	4.771	16883
568.067	3.303	17026
571.371	0.767	17125
572.138	1.101	17148
573.239	1.435	17181
574.674	5.639	17224
580.313	0.734	17393
581.047	8.909	17415
589.956	3.103	17682
593.059	1.268	17775
594.327	4.805	17813
599.132	6.874	17957
606.005	4.771	18163
610.777	1.768	18306
612.545	3.437	18359
615.982	1.502	18462
617.484	3.403	18507
620.887	5.706	18609
626.593	18.452	18780
