h	w	p
200	464	1
202	464	1
202	464	1
202	464	1
202	464	1
200	464	1
200	464	1
200	464	1
200	464	1
200	464	1
200	464	1
198	464	1
198	464	1
198	464	1
198	464	1
200	462	1
202	461	1
202	461	1
202	461	1
202	460	1
202	460	1
202	460	1
202	460	1
202	460	1
202	460	1
202	460	1
202	457	1
202	457	1
202	456	1
203	455	1
202	455	1
202	452	1
202	452	1
203	452	1
204	452	1
203	452	1
204	452	1
204	452	1
204	453	1
202	455	2
122	288	2
126	288	2
130	291	1
134	292	1
138	292	1
140	292	1
142	292	1
144	292	1
144	292	1
144	292	1
144	292	1
144	291	1
144	291	1
144	290	1
144	290	1
144	288	1
144	288	1
146	288	1
146	288	1
146	288	1
146	287	1
146	287	1
146	286	1
146	286	1
146	285	1
146	283	1
148	283	1
148	283	1
148	283	1
148	282	1
148	282	1
148	281	1
148	281	1
148	279	1
148	279	1
148	279	1
148	279	1
150	279	1
150	279	1
150	279	1
150	279	1
150	279	1
150	279	1
150	278	1
150	278	1
150	278	1
150	278	1
152	278	1
152	277	1
152	277	1
154	278	1
154	278	1
154	278	1
156	279	1
154	279	1
154	279	1
156	282	1
156	282	1
156	283	1
156	283	1
156	285	1
156	287	1
156	287	1
156	288	1
154	291	1
154	292	1
154	292	1
154	294	1
154	296	1
154	297	1
154	297	1
154	297	1
154	299	1
154	301	1
154	301	1
154	303	1
154	303	1
154	304	1
154	304	1
156	305	1
156	305	1
156	306	1
156	306	1
158	305	1
156	305	1
158	306	1
158	306	1
158	306	1
160	306	1
160	306	1
160	305	1
162	305	1
162	304	1
164	303	1
166	303	1
166	301	1
166	301	1
168	301	1
168	299	1
170	300	1
170	299	1
170	297	1
170	297	1
170	296	1
170	295	1
170	294	1
168	292	1
170	292	1
170	292	1
168	291	1
168	290	1
166	288	1
166	288	1
164	288	1
164	288	1
162	287	1
162	287	1
162	287	1
164	287	1
164	287	1
164	287	1
164	287	1
164	287	1
164	287	1
164	287	1
164	287	1
164	287	1
166	287	1
166	287	1
166	287	1
166	287	1
166	287	1
168	287	1
168	287	1
168	287	1
167	286	1
166	286	1
166	286	1
166	286	1
166	287	1
164	287	1
164	287	1
164	287	1
164	287	1
164	287	1
162	287	1
162	288	1
162	288	1
160	288	1
160	288	1
159	288	1
158	288	1
158	290	1
158	290	1
158	291	1
156	291	1
156	291	1
158	291	1
156	290	1
156	292	1
156	292	1
156	292	1
156	291	1
156	291	1
154	291	1
154	291	1
154	291	1
154	290	1
156	288	1
156	288	1
156	288	1
156	287	1
156	287	1
154	287	1
154	287	1
154	287	1
154	286	1
154	285	1
152	285	1
152	283	1
152	283	1
152	283	1
152	282	1
152	282	1
150	281	1
150	281	1
150	281	1
150	279	1
150	279	1
150	279	1
150	278	1
150	278	1
152	277	1
150	276	1
150	276	1
150	276	1
150	274	1
150	274	1
150	274	1
148	274	1
148	274	1
148	274	1
148	274	1
148	274	1
148	274	1
148	274	1
148	274	1
148	274	1
148	274	1
148	274	1
148	274	1
148	274	1
148	274	1
150	274	1
150	276	1
150	277	1
150	277	1
150	278	1
150	278	1
150	279	1
150	279	1
150	279	1
150	281	1
150	283	1
150	283	1
152	283	1
152	283	1
152	285	1
154	286	1
154	287	1
156	287	1
154	287	1
152	288	1
150	288	1
144	288	1
142	288	2
138	288	2
192	474	2
192	473	1
194	469	1
194	469	1
194	467	1
196	465	1
194	464	1
194	462	1
194	461	1
194	460	1
194	460	1
194	460	1
194	460	1
194	460	1
196	460	1
196	460	1
196	460	1
198	457	1
196	458	1
196	457	1
198	457	1
198	456	1
198	456	1
198	457	1
198	456	1
198	456	1
198	455	1
199	455	1
198	455	1
198	455	1
199	453	1
200	452	1
198	452	1
198	452	1
198	452	1
198	452	1
196	452	1
196	452	1
196	452	1
196	452	1
196	452	1
196	452	1
194	455	1
194	455	1
194	455	1
194	455	1
194	456	1
194	456	1
194	456	1
194	457	1
194	457	1
194	458	1
194	458	1
194	460	1
194	460	1
194	460	1
194	461	1
196	461	1
196	462	1
196	462	1
196	464	1
196	464	1
196	464	1
196	464	1
196	465	1
196	466	1
196	466	1
194	469	1
194	469	1
194	470	1
194	470	1
194	471	1
194	473	1
192	473	1
192	474	1
192	475	2
192	478	2
130	240	2
138	247	2
142	250	1
146	252	1
148	252	1
148	252	1
148	251	1
148	251	1
148	251	1
148	251	1
148	251	1
148	251	1
148	251	1
148	251	1
148	250	1
148	250	1
148	250	1
148	250	1
148	250	1
148	249	1
148	249	1
148	249	1
146	248	1
146	247	1
146	247	1
144	247	1
144	246	1
144	246	1
144	246	1
144	246	1
144	246	1
144	246	1
144	245	1
144	245	1
144	245	1
144	245	1
144	245	1
144	245	1
144	244	1
144	244	1
144	243	1
146	244	1
146	243	1
146	243	1
146	243	1
146	243	1
146	242	1
144	241	1
144	241	1
144	240	1
144	241	1
142	240	1
142	240	1
140	239	1
140	239	1
140	239	1
138	238	1
138	238	1
136	238	1
136	238	1
136	238	1
136	238	1
136	238	1
136	237	1
136	238	1
136	238	1
136	237	1
136	237	1
136	237	1
136	237	1
136	237	1
136	237	1
136	237	1
136	237	1
136	237	1
136	237	1
136	237	1
136	237	1
136	237	1
136	237	1
136	237	1
136	237	1
136	237	1
136	237	1
138	238	1
138	237	1
140	238	1
140	238	1
140	238	1
142	239	1
142	240	1
144	242	1
144	243	1
144	243	1
142	245	1
142	246	1
140	246	1
