h	w	p
142	416	1
144	416	1
146	415	1
148	415	1
150	415	1
148	415	1
150	416	1
150	416	1
152	416	1
154	416	1
154	416	1
156	416	1
158	419	1
160	419	1
160	419	1
160	419	1
160	419	1
158	419	1
156	419	1
154	419	1
152	417	1
152	416	1
148	415	1
144	415	1
142	412	1
142	413	1
138	411	1
134	410	1
132	408	1
132	408	1
132	408	1
132	407	1
132	406	1
132	403	1
136	403	1
140	403	1
142	401	1
144	401	1
148	398	1
150	397	1
152	397	1
154	397	1
156	397	1
156	397	1
158	397	1
156	398	1
154	398	1
156	401	1
156	403	1
158	410	1
158	410	1
156	410	1
158	412	1
158	415	1
158	416	1
160	416	1
160	415	1
158	417	1
158	419	1
160	419	1
160	419	1
162	419	1
164	419	1
166	420	1
168	421	1
172	421	1
170	420	1
172	421	1
174	424	1
176	424	1
178	424	1
174	424	1
176	428	1
196	433	1
206	437	1
205	437	1
198	437	1
200	439	1
198	438	1
198	442	1
194	439	1
166	433	1
158	433	1
152	430	1
144	431	1
138	428	1
140	428	1
138	428	1
136	424	1
130	410	1
130	410	1
130	406	1
130	392	2
132	383	2
134	375	2
136	370	2
136	370	2
138	367	1
146	361	1
142	367	1
144	366	2
152	361	3
243	366	3
241	367	2
243	366	2
245	365	2
243	363	2
239	361	2
229	360	2
233	362	2
235	362	2
196	358	2
192	360	2
188	361	2
188	361	2
188	361	2
192	361	1
192	358	1
192	354	1
192	350	1
192	351	1
194	351	1
194	351	1
192	353	1
190	354	1
190	356	1
190	357	1
188	358	1
188	358	1
192	358	1
192	359	1
192	361	1
192	362	1
190	365	1
188	366	1
188	368	1
188	368	1
188	370	1
188	370	1
192	372	1
194	373	1
194	374	1
194	376	1
192	379	1
192	383	1
190	386	1
192	388	1
192	390	1
190	393	1
190	395	1
188	397	1
192	399	1
190	402	1
184	406	1
176	407	1
172	410	1
170	412	1
166	415	1
170	415	1
172	413	1
174	412	1
176	411	1
176	410	1
176	410	1
176	410	1
178	408	1
178	407	1
178	406	1
178	406	1
178	406	1
180	406	1
180	406	1
180	404	1
180	403	1
180	403	1
181	404	1
180	403	1
180	404	1
178	404	1
178	406	1
178	406	1
178	406	1
178	407	1
178	407	1
178	406	1
178	406	1
178	404	1
178	402	1
176	401	1
176	398	1
176	397	1
176	393	1
