episode	scene	segment	onset	offset	duration	descriptor	caption	ONbond_location	ONbond_charact_entry	ONbond_charact_leave	ONbond_time_jump	ONbond_goal_change	ONbond_music_transit	ONbond_theme_song	ONbond_end	OFFbond_location	OFFbond_charact_entry	OFFbond_charact_leave	OFFbond_time_jump	OFFbond_goal_change	OFFbond_music_transit	OFFbond_theme_song	OFFbond_end	loc_apt1_Mon_Rach	loc_apt2_Chan_Joey	loc_apt3_Ross	loc_apt4_Pheob_Rach	loc_coffeeshop	loc_outside	loc_other
s6e15d	1	1	0.0	1.0	1.0	transition	transition	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False
s6e15d	2	2	1.0	15.0	14.0	end of previous	fin de scène	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False
s6e15d	3	3	15.0	18.0	3.0	transition	transition	False	False	False	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s6e15d	4	4	18.0	131.0	113.0			True	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True
s6e15d	5	5	131.0	134.0	3.0	transition	transition	False	False	False	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s6e15d	6	6	134.0	149.0	15.0			True	False	False	True	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	True
s6e15d	6	7	149.0	162.0	13.0			False	True	True	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	True
s6e15d	6	8	162.0	278.0	116.0			False	False	True	False	True	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True
s6e15d	7	9	278.0	344.0	66.0			True	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False
s6e15d	8	10	344.0	347.0	3.0	transition	transition	False	False	False	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s6e15d	9	11	347.0	364.0	17.0			True	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True
s6e15d	10	12	364.0	367.0	3.0	transition	transition	False	False	False	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s6e15d	11	13	367.0	375.0	8.0			True	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True
s6e15d	11	14	375.0	379.0	4.0			False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True
s6e15d	11	15	379.0	433.0	54.0			False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True
s6e15d	11	16	433.0	449.0	16.0			False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True
s6e15d	11	17	449.0	457.0	8.0			False	True	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True
s6e15d	12	18	457.0	552.0	95.0			True	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False
s6e15d	12	19	552.0	605.0	53.0			False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False
s6e15d	13	20	605.0	607.0	2.0	transition	transition	False	False	False	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s6e15d	14	21	607.0	691.0	84.0			True	False	False	True	False	False	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	False
s6e15d	15	22	691.0	702.0	11.0			True	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False
s6e15d	15	23	702.0	721.0	19.0			False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False
