h	w	p
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
217	355	1
219	362	1
223	419	3
229	424	2
110	487	2
112	483	2
114	482	3
168	351	2
170	352	2
172	352	1
170	351	2
170	351	2
168	349	2
168	349	2
168	349	2
168	349	2
168	349	2
168	349	2
168	349	2
168	350	2
168	350	2
168	350	2
168	350	2
166	348	2
162	346	3
162	346	3
202	374	3
202	374	3
203	374	3
204	375	3
204	375	3
205	375	3
158	345	3
158	345	3
158	345	3
158	345	3
158	345	3
158	345	3
158	345	3
158	345	3
158	345	3
158	345	2
158	345	2
158	344	2
158	344	2
158	344	2
158	344	2
158	344	2
158	344	2
158	344	2
160	345	2
160	345	2
160	345	2
160	345	2
160	345	2
160	345	2
160	345	2
160	345	2
161	345	2
160	345	2
160	344	2
160	344	2
160	344	2
160	343	2
160	343	2
160	342	2
160	342	2
160	342	2
160	342	3
160	342	3
160	342	3
160	342	3
160	342	3
160	341	3
160	341	3
160	341	3
160	341	3
161	341	3
161	341	3
162	341	3
162	341	3
162	341	3
162	341	3
162	341	3
162	341	3
163	341	3
163	341	3
164	341	3
164	341	3
164	341	3
164	341	3
164	342	3
165	342	3
165	342	3
166	342	3
166	342	3
166	342	3
166	342	3
166	342	2
166	342	1
165	342	1
165	342	1
166	342	1
166	342	1
166	342	1
166	342	1
166	342	1
166	342	1
166	342	1
166	342	1
166	342	1
167	342	2
168	342	2
168	342	2
168	342	1
169	342	1
170	343	1
170	343	1
170	343	1
170	343	1
170	344	1
171	344	1
171	344	1
171	344	1
171	344	1
171	344	1
171	344	1
171	344	1
170	344	1
171	344	1
171	344	1
171	344	1
171	344	1
171	344	1
171	344	1
172	344	1
172	344	1
172	344	1
172	344	2
172	344	3
172	344	3
172	344	3
172	344	2
172	344	4
172	344	4
172	343	4
172	343	4
172	343	4
174	343	4
174	343	3
174	342	3
174	342	2
175	341	2
175	340	2
176	339	1
176	337	1
176	337	2
178	336	5
180	335	6
94	568	7
339	157	7
335	155	6
333	153	4
331	152	3
331	152	3
331	152	3
331	152	3
329	151	3
329	151	3
329	151	3
329	151	3
329	151	3
327	150	3
327	150	3
327	150	3
327	150	3
327	150	3
327	150	3
327	150	3
327	150	3
327	150	3
327	150	3
327	150	3
327	150	3
327	150	3
327	150	3
327	149	3
327	149	3
327	148	3
327	148	3
327	148	3
327	148	3
327	148	4
327	148	5
327	148	5
327	148	4
327	148	4
329	149	4
329	149	4
329	149	4
329	149	4
331	150	4
331	151	4
331	151	4
333	152	4
333	152	4
333	152	4
333	152	4
333	152	4
333	152	4
335	152	4
335	152	4
333	151	4
335	152	4
333	152	4
227	346	4
225	350	4
225	351	4
225	351	4
229	346	5
231	346	6
231	346	5
233	346	5
235	342	6
239	333	5
243	333	4
245	333	4
251	337	5
186	446	4
267	351	4
269	355	4
273	362	4
273	362	4
273	363	4
275	365	3
275	365	3
275	366	3
275	368	3
273	371	3
273	374	3
273	375	3
273	376	2
273	377	3
273	383	2
273	383	2
271	383	2
273	384	2
273	384	2
271	384	2
273	388	2
273	385	2
275	388	2
275	385	2
277	384	2
277	383	2
277	383	2
275	381	2
273	379	2
271	379	2
146	421	2
148	419	2
146	415	2
146	415	2
146	413	1
146	410	1
146	408	1
146	407	1
146	406	1
144	406	1
146	407	1
146	407	1
146	407	1
146	408	1
146	408	1
146	410	1
150	415	1
150	415	1
152	416	1
156	421	1
160	426	1
166	433	2
172	437	2
172	437	2
176	437	2
180	442	2
279	406	2
279	406	2
275	406	2
275	406	2
273	406	3
277	410	3
215	277	3
210	273	2
203	268	2
193	261	1
184	255	1
176	252	1
170	250	1
166	248	1
162	247	1
162	247	1
160	247	1
160	247	1
160	247	2
160	246	2
160	246	3
160	246	3
160	246	3
160	246	3
160	246	3
160	246	3
159	246	3
159	246	3
159	247	3
159	247	3
159	247	3
158	247	3
159	247	3
159	247	3
159	247	2
159	247	2
158	247	2
158	247	2
158	247	2
158	248	2
158	248	2
158	248	2
158	249	2
158	249	2
158	249	2
158	249	2
158	249	2
158	250	3
158	250	3
158	250	3
158	250	3
158	251	3
158	251	3
156	252	3
156	252	3
156	252	3
156	252	3
156	252	3
156	254	3
156	254	3
154	255	3
154	255	3
156	255	3
154	256	3
154	256	3
154	256	3
154	256	2
154	256	2
154	256	2
154	256	2
154	256	2
154	256	2
154	256	2
154	256	2
154	254	1
154	251	1
154	248	1
154	245	1
154	243	1
153	241	1
152	238	1
152	236	1
152	234	1
152	232	1
152	229	1
152	227	1
152	225	1
152	224	3
151	223	3
151	223	3
152	223	3
152	223	3
152	224	4
152	224	4
152	224	4
152	224	4
152	224	3
152	224	3
153	224	3
153	224	3
153	224	3
152	224	4
152	223	4
152	223	4
152	222	4
152	220	4
152	220	3
152	220	3
152	219	3
152	219	3
152	218	3
152	218	3
151	218	3
151	218	3
151	218	4
151	218	4
152	219	4
152	219	4
152	219	4
152	220	4
152	220	4
152	222	4
152	222	4
152	223	4
152	223	4
152	224	4
152	225	3
152	225	3
149	150	3
149	151	3
150	151	2
150	152	2
150	152	2
150	152	2
150	152	2
150	152	2
150	152	2
150	152	2
149	152	2
150	153	2
150	153	2
150	153	2
149	153	2
149	153	2
149	153	2
149	153	2
149	153	2
149	155	2
148	155	2
