h	w	p
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
219	359	1
158	346	2
122	315	1
116	315	1
116	315	1
114	315	1
112	315	1
110	318	2
110	318	2
108	318	2
108	318	1
106	318	1
106	318	1
104	319	1
104	319	1
104	319	1
102	319	1
102	319	1
102	319	1
100	319	1
100	319	1
100	319	1
100	319	1
100	319	1
100	322	1
100	322	1
100	322	1
102	323	1
102	323	1
104	324	1
104	324	1
104	324	1
106	324	1
106	324	1
106	324	1
106	324	1
108	324	1
108	324	1
108	324	1
108	324	1
108	324	1
110	324	1
110	324	1
110	324	1
110	324	1
112	324	1
112	324	1
112	324	1
114	324	1
114	323	1
114	323	1
114	324	1
114	324	1
114	323	2
116	322	2
116	322	3
116	319	3
116	319	3
116	319	3
116	319	3
116	319	3
116	319	3
116	319	3
116	319	3
116	319	3
116	319	3
116	319	3
118	319	3
120	319	3
124	323	4
136	328	4
148	332	3
309	380	2
311	384	2
313	388	1
313	389	1
313	390	1
313	390	1
313	389	1
315	390	1
315	390	1
315	390	2
315	390	2
315	390	2
315	390	2
315	390	2
315	390	2
315	389	3
317	390	3
317	390	3
317	391	2
317	392	2
317	392	2
319	392	2
319	392	2
319	392	2
319	392	2
319	393	2
319	393	1
319	393	1
319	394	1
319	394	2
319	394	2
319	395	2
321	395	2
321	395	2
321	395	2
321	395	2
321	395	2
321	395	2
321	395	2
323	397	2
323	397	2
323	397	2
323	397	2
325	397	2
325	397	3
325	397	3
325	397	3
327	397	3
327	397	3
327	397	3
327	397	3
327	397	4
329	397	4
329	397	4
329	397	4
329	397	4
329	397	4
331	397	4
331	397	4
331	395	4
331	395	4
331	395	4
331	395	4
331	395	4
333	395	4
333	397	3
333	397	3
333	397	3
333	397	3
335	397	3
335	397	3
335	397	3
335	397	3
337	397	3
337	398	3
339	398	3
339	398	3
381	232	3
381	232	3
383	232	3
383	232	3
383	232	3
383	233	3
383	233	3
383	233	3
383	234	3
383	234	3
383	234	3
383	234	3
383	237	2
383	238	2
383	241	2
383	241	2
351	407	2
351	408	4
353	410	4
353	411	5
353	413	5
353	415	5
80	231	5
80	231	5
80	231	5
82	230	4
82	230	4
82	229	4
215	359	4
225	355	4
233	353	3
233	352	3
233	354	5
237	351	6
239	353	6
241	353	7
241	353	6
243	355	6
371	315	7
373	321	7
377	328	6
381	335	3
381	335	3
381	337	2
381	340	1
383	343	1
385	345	1
385	345	1
385	346	1
387	348	1
387	349	1
387	349	1
389	349	1
389	350	1
389	350	1
389	351	1
391	351	1
391	351	1
391	352	1
393	352	1
393	353	1
393	354	1
393	354	1
393	354	1
395	355	1
393	355	1
393	356	1
393	357	1
395	359	1
395	360	1
395	361	2
395	363	2
395	365	2
395	367	3
395	369	3
331	446	3
331	446	3
331	446	3
331	447	3
331	447	3
331	448	3
393	388	3
393	388	3
393	390	3
393	392	4
391	393	3
391	394	2
391	395	2
391	397	2
391	399	2
389	400	2
389	401	1
389	402	1
389	403	1
389	406	1
387	407	1
385	410	1
385	412	1
385	415	1
383	415	1
383	416	1
383	419	1
383	419	2
383	420	2
381	421	2
381	422	2
381	422	1
381	424	1
381	424	2
381	425	2
381	425	1
381	428	2
381	428	2
379	430	2
377	431	3
126	324	5
122	324	3
393	353	3
146	274	2
114	297	2
184	270	3
211	220	3
164	270	4
172	270	4
166	270	1
172	270	3
138	339	3
140	337	2
140	333	1
144	319	1
156	301	1
156	300	1
158	299	1
156	300	1
156	301	1
156	300	1
154	301	1
152	301	1
152	304	1
152	306	1
152	306	1
154	306	1
152	306	1
152	310	1
152	312	1
152	315	1
152	322	1
154	328	1
152	328	2
152	331	2
156	337	2
156	337	2
154	333	2
156	336	2
227	401	2
229	397	2
229	392	2
227	392	2
226	392	2
225	388	2
223	384	2
223	383	3
221	379	3
188	351	2
188	351	1
188	350	1
182	346	1
178	342	1
180	344	1
176	342	1
176	342	1
176	341	1
172	337	1
168	333	2
148	245	2
162	324	2
152	252	1
150	252	1
152	255	1
152	256	1
154	260	1
160	259	1
160	259	1
160	261	1
160	261	1
162	263	1
162	264	1
160	263	1
162	263	1
160	261	1
162	263	1
162	264	1
162	261	1
162	260	1
162	256	1
165	250	1
167	245	1
166	241	1
166	238	1
167	236	1
168	234	1
168	233	1
168	233	1
169	231	1
169	229	1
170	229	1
170	229	1
169	229	1
171	231	1
171	231	1
171	231	1
170	231	1
169	231	1
169	232	1
169	232	1
169	232	1
169	233	1
167	233	1
166	233	1
165	234	1
164	234	1
162	234	1
160	236	1
160	238	1
160	241	1
156	241	1
156	243	1
154	246	1
156	251	1
158	256	1
164	265	1
168	274	2
170	278	3
172	279	2
176	279	1
180	288	2
176	287	2
170	279	2
172	283	2
176	292	3
178	301	3
178	301	4
150	202	4
146	206	4
144	207	4
142	207	3
140	207	4
163	596	2
164	599	2
164	602	3
165	604	3
165	605	3
166	606	3
166	608	3
166	609	3
166	609	3
167	609	3
167	610	3
168	610	3
168	610	3
168	613	3
168	613	3
383	376	3
387	375	3
387	376	2
389	376	2
389	376	2
391	376	1
395	375	1
395	375	1
395	375	1
397	375	1
397	374	1
397	374	1
399	374	1
399	373	1
399	373	1
399	373	1
399	373	1
399	372	1
401	372	1
399	372	1
399	371	1
399	371	1
399	371	1
