h	w	p
124	283	1
122	288	1
122	291	1
122	295	1
120	297	1
120	297	1
120	300	1
120	303	1
122	306	1
122	308	1
120	308	1
124	310	1
126	310	1
130	314	1
134	319	1
138	324	1
140	326	1
142	328	1
144	330	1
144	332	1
144	332	1
146	332	1
148	333	1
150	336	1
154	337	1
156	337	1
158	337	1
158	339	1
158	339	1
160	341	1
162	342	1
162	342	1
164	344	1
164	344	1
164	344	1
164	344	1
166	343	1
168	344	1
170	344	1
170	345	1
172	345	1
174	346	1
176	348	1
176	348	1
178	349	1
176	347	2
174	346	1
176	348	1
176	349	1
180	350	1
180	350	1
180	350	1
178	350	1
176	350	1
174	351	1
174	350	1
170	350	1
168	350	1
166	351	1
162	354	2
158	358	1
156	361	1
150	370	1
144	380	1
144	392	1
146	394	1
166	419	1
168	424	1
164	421	1
162	424	1
162	424	1
160	424	1
162	429	1
166	433	1
170	433	1
174	437	1
174	442	1
175	446	1
176	451	1
176	452	1
178	455	2
178	457	2
178	460	2
178	464	2
180	469	2
199	505	1
204	509	1
208	511	1
212	514	1
213	514	1
214	514	1
214	515	1
214	514	1
213	514	1
211	511	1
208	509	1
206	505	1
204	505	1
200	500	1
196	496	1
193	493	1
192	493	1
190	492	1
188	491	1
187	491	1
186	488	1
186	488	1
186	488	1
185	487	1
184	487	1
182	487	1
182	487	1
182	487	1
180	488	1
180	489	1
180	491	1
183	494	1
183	496	1
183	497	1
184	500	1
184	502	1
184	505	1
184	506	1
184	509	1
183	510	1
183	512	1
184	514	1
184	515	1
184	518	1
185	519	1
185	520	1
184	523	1
184	525	1
184	525	1
185	525	2
185	524	2
185	523	2
186	523	2
187	523	2
188	520	2
190	519	2
192	518	2
193	515	2
194	514	2
196	514	1
196	511	1
198	511	1
198	511	1
198	511	1
198	511	1
198	512	1
198	514	1
198	515	1
198	516	1
198	518	1
198	518	1
197	520	1
196	521	1
196	523	1
195	523	1
194	524	1
193	525	1
192	527	1
190	527	1
189	527	1
187	527	1
184	527	2
182	527	2
180	525	2
179	524	2
177	523	2
175	523	2
174	523	2
172	521	2
170	520	2
168	520	2
166	520	2
165	520	1
164	519	1
162	519	1
161	519	1
160	519	1
159	519	1
158	519	1
156	519	1
155	519	1
153	518	1
152	518	1
150	518	1
149	518	1
148	518	1
146	516	1
144	515	1
144	515	2
142	514	2
142	514	2
140	512	2
138	511	2
136	510	3
136	509	3
148	248	4
148	247	4
148	247	3
146	245	3
146	243	3
146	243	3
148	243	2
150	244	2
150	244	2
151	244	2
152	245	2
152	245	2
152	245	2
154	246	2
154	245	2
155	246	2
156	246	2
156	246	2
156	246	2
156	246	2
156	246	2
156	247	2
155	247	3
154	247	3
152	247	3
152	249	3
152	251	3
150	250	3
150	252	2
148	252	2
146	252	2
146	252	2
144	251	3
144	252	3
144	252	3
142	251	3
142	251	3
142	251	3
142	251	3
142	250	3
142	250	2
142	250	2
142	249	2
142	249	2
140	247	2
140	247	1
140	247	1
140	247	1
140	247	1
140	247	1
138	245	1
140	247	1
142	251	1
144	255	1
146	258	1
152	264	1
160	270	1
160	272	1
160	274	1
158	274	1
160	277	1
160	278	1
158	279	1
158	281	1
158	282	1
158	283	1
158	283	1
158	283	1
158	281	1
158	278	1
158	274	1
156	268	1
152	256	1
152	252	1
152	249	1
152	244	1
152	242	1
152	241	1
152	239	1
153	238	1
154	237	1
154	236	1
154	235	1
154	234	1
154	234	1
154	233	1
154	233	1
154	232	1
154	232	1
154	231	1
154	231	1
153	231	1
152	231	1
152	231	1
151	229	1
150	229	1
149	228	1
148	227	1
148	227	1
146	225	1
146	225	1
144	225	1
144	224	1
144	224	1
143	224	1
142	223	1
142	222	1
142	220	1
142	220	1
142	220	1
142	220	1
142	219	1
142	219	1
142	218	1
142	216	1
142	216	1
142	216	1
142	215	1
142	214	1
140	211	1
142	211	1
140	211	1
140	211	1
140	211	1
140	211	1
140	211	1
140	211	2
138	211	2
138	214	2
219	333	3
218	335	3
217	337	2
215	341	2
213	345	2
213	346	2
213	348	2
212	350	2
210	354	2
208	357	2
206	361	2
205	362	1
204	364	1
204	366	1
203	367	1
202	368	1
202	368	1
202	368	1
201	368	1
200	368	1
200	367	1
200	367	1
199	367	1
198	366	1
198	365	1
198	365	2
196	364	2
196	364	2
194	363	2
192	363	2
192	363	2
192	363	2
191	363	2
190	362	2
190	362	2
190	362	2
189	362	2
188	361	2
188	361	2
188	361	2
188	361	1
190	361	1
190	361	1
190	361	1
190	361	1
192	361	1
192	363	3
192	365	3
194	368	3
124	399	3
122	399	3
122	399	3
122	399	3
116	493	3
116	493	3
116	493	3
116	493	3
124	399	3
124	399	3
124	400	3
124	401	3
124	401	3
124	401	3
124	402	3
124	403	4
122	403	4
122	404	4
122	404	4
122	406	4
122	406	4
122	406	4
122	407	4
122	408	4
122	409	4
122	410	4
122	410	4
122	410	4
122	411	4
122	411	4
122	411	4
122	411	4
122	412	4
122	412	4
122	412	4
122	412	4
122	412	4
120	412	4
120	412	4
120	412	4
120	412	4
120	412	4
120	413	4
120	413	4
122	413	4
122	413	4
122	415	4
122	415	4
122	415	4
122	415	4
122	415	4
122	415	4
122	415	4
122	415	4
124	416	4
124	416	4
124	416	4
124	417	4
124	417	4
124	417	4
124	419	4
114	493	4
114	492	4
114	492	4
114	492	4
114	492	4
114	492	4
114	491	4
114	491	4
114	491	4
114	491	4
114	491	4
114	491	4
114	491	4
114	491	4
114	489	4
114	489	4
116	489	4
116	489	3
118	488	3
118	488	4
120	488	4
122	488	4
140	245	3
140	243	2
138	243	2
140	244	1
140	245	1
140	244	1
140	243	1
140	243	1
140	242	1
142	242	1
142	241	1
142	241	1
142	241	1
144	242	1
144	243	1
144	243	1
144	245	1
144	246	1
146	247	1
144	246	1
146	246	1
146	247	1
146	247	1
146	249	1
148	251	1
148	252	1
148	252	1
148	252	1
149	254	1
149	255	1
148	255	1
148	255	1
150	256	1
150	256	1
150	256	1
150	256	1
150	256	1
151	256	1
150	256	1
150	255	1
150	254	1
150	252	1
150	252	1
150	252	1
150	252	1
150	252	1
150	252	1
150	252	1
150	252	1
150	253	1
150	254	1
150	254	1
150	254	1
150	255	1
152	256	1
152	256	1
152	258	1
152	259	1
152	260	1
152	260	1
152	260	1
152	261	1
152	261	1
