h	w	p
215	359	1
221	359	1
225	370	1
223	401	2
221	406	2
201	333	3
197	331	3
195	328	3
196	332	2
194	332	2
194	332	3
144	404	2
142	410	2
148	451	2
148	447	2
150	447	2
148	447	1
148	446	1
148	446	1
146	442	1
144	442	1
144	443	1
142	442	1
144	446	1
144	446	1
142	447	1
140	448	1
142	449	1
142	451	2
142	451	2
140	451	2
140	451	2
140	452	2
140	455	2
138	457	2
136	460	2
136	460	2
136	460	2
134	462	2
154	270	2
154	270	2
154	270	2
154	270	2
154	270	2
154	270	2
154	270	2
153	270	2
153	270	2
153	270	2
152	270	2
152	270	2
152	270	2
151	270	2
150	271	2
150	271	2
150	272	2
150	272	2
149	272	2
148	272	2
148	272	2
148	272	2
148	273	2
148	273	2
146	273	2
104	492	2
104	492	2
104	492	2
104	492	2
104	492	2
104	492	2
104	492	2
104	492	2
104	492	2
104	492	2
104	492	2
104	492	2
104	492	2
104	493	2
104	493	2
104	493	2
104	493	2
148	260	2
148	259	2
148	259	2
150	259	2
150	256	2
152	255	1
152	255	1
152	254	1
152	254	1
152	253	1
152	252	1
153	252	1
154	252	1
154	252	1
154	252	1
154	252	1
154	252	1
154	252	1
155	252	1
156	252	2
156	252	2
156	252	2
156	252	2
158	251	2
158	252	2
158	251	2
158	251	2
157	250	2
158	251	2
156	248	2
120	488	2
122	488	2
122	488	2
122	487	2
122	487	2
122	487	2
122	487	2
122	487	2
122	487	2
122	487	2
122	487	2
122	487	2
122	487	2
122	487	2
122	487	2
120	487	2
120	487	2
120	488	2
118	488	2
118	488	2
118	488	2
116	487	2
116	487	2
116	487	2
114	485	2
142	226	2
142	227	2
143	227	2
144	227	2
144	228	2
144	228	2
144	227	2
144	227	2
146	227	3
149	227	3
151	227	4
155	225	4
124	483	4
197	502	5
158	356	6
168	361	6
186	370	6
186	370	4
190	371	3
194	374	3
196	374	4
196	374	3
198	371	3
202	370	3
204	366	3
204	365	3
206	366	3
210	365	3
215	363	3
217	360	3
219	358	3
221	355	4
223	354	4
223	351	4
219	346	4
217	342	4
217	342	5
217	342	5
423	310	5
423	297	5
423	291	5
423	288	5
423	283	5
423	279	5
423	274	5
419	279	5
417	283	5
415	288	5
413	288	5
411	288	5
411	287	5
409	286	5
409	283	6
407	279	6
407	274	5
409	261	7
409	260	7
237	502	7
239	500	6
239	500	6
241	496	6
241	491	5
241	487	5
241	485	6
243	484	6
243	482	6
243	478	6
243	474	5
243	471	5
243	469	5
243	469	5
245	465	5
247	464	6
251	460	6
323	465	4
323	464	4
323	464	4
323	464	4
323	464	4
323	464	4
323	464	4
321	464	4
321	464	4
321	461	3
321	461	3
321	464	3
321	464	3
321	464	3
321	464	3
321	464	3
321	464	3
321	464	3
321	464	3
321	464	3
321	465	3
321	465	3
202	460	3
200	464	3
202	464	2
202	464	2
204	464	2
202	464	2
200	466	2
198	469	2
196	470	2
194	473	2
194	473	2
194	474	2
194	475	2
195	475	3
196	475	2
198	476	2
200	476	2
200	478	2
201	478	2
202	478	2
154	255	2
156	256	2
156	258	2
158	259	2
159	260	2
160	261	2
160	261	2
162	261	2
162	263	2
162	263	2
164	264	2
164	264	2
164	265	2
164	265	2
164	265	2
164	265	2
166	267	2
166	267	2
164	267	2
164	267	2
164	267	2
164	267	2
164	267	2
162	265	2
162	265	2
162	265	2
160	265	2
160	264	2
160	264	2
160	263	2
160	261	2
160	261	2
160	261	2
160	260	2
160	260	2
159	259	2
159	259	2
160	258	2
160	258	2
160	256	2
160	256	2
160	256	2
160	256	2
160	255	2
160	255	2
159	255	2
158	254	2
158	252	2
158	252	2
158	252	2
158	252	2
158	251	2
158	251	2
158	250	2
158	250	2
158	249	2
157	249	2
157	248	2
158	247	2
158	247	2
