h	w	p
215	359	1
215	359	1
217	359	1
214	357	1
176	333	1
176	324	3
221	392	3
160	324	4
128	351	5
205	297	1
229	306	1
249	310	1
221	310	1
211	310	2
209	310	1
207	310	1
207	310	1
207	314	1
205	319	1
201	323	1
199	324	1
197	324	1
199	324	1
199	324	1
199	324	1
199	326	1
199	326	1
199	324	1
199	324	1
199	324	1
199	326	1
199	326	1
199	327	1
200	326	1
200	326	1
200	326	1
201	326	1
201	326	1
201	327	1
201	327	1
202	327	1
202	326	1
202	326	1
202	327	1
202	326	1
203	327	1
203	327	1
203	327	1
203	327	1
203	326	1
203	326	1
203	326	1
203	326	1
203	326	1
203	326	1
204	326	1
203	326	1
204	326	1
204	326	1
205	326	1
205	326	1
205	326	1
205	324	1
205	324	1
205	324	1
205	326	1
205	326	1
205	326	1
205	326	1
205	326	1
205	326	1
205	326	1
205	326	1
205	326	1
205	327	1
205	327	1
205	327	1
205	327	1
205	328	1
206	328	1
206	328	1
207	328	1
207	328	1
208	328	1
209	328	1
209	330	1
209	330	1
209	331	1
209	331	1
209	332	1
209	332	1
209	333	1
209	333	1
209	333	1
209	335	1
209	335	1
208	336	1
208	336	1
207	336	1
207	337	1
207	337	1
207	337	1
207	337	1
207	337	1
208	337	1
208	337	1
207	337	1
208	337	1
208	337	1
208	337	1
207	337	1
207	337	1
207	337	1
207	337	1
206	337	1
206	337	1
206	337	1
207	337	1
206	337	1
206	337	1
206	337	1
206	339	1
206	339	1
206	339	1
206	340	1
206	340	1
206	340	1
207	340	1
206	341	1
207	341	1
207	341	1
207	342	1
207	342	1
206	342	1
207	342	1
207	342	1
206	344	1
205	345	1
205	345	1
204	346	1
204	346	1
204	346	1
204	346	1
203	346	1
202	348	1
202	348	1
202	348	1
202	348	1
204	348	1
204	348	1
204	348	1
204	348	1
204	348	1
204	348	1
204	348	1
204	348	1
204	348	1
204	348	1
204	348	1
205	348	1
205	348	1
205	349	1
205	349	1
206	349	1
206	350	1
206	350	1
206	350	1
207	351	1
207	351	1
208	351	1
209	351	1
209	351	1
210	351	1
210	351	1
211	352	1
211	352	1
211	352	1
211	352	1
212	352	1
212	353	1
212	353	1
212	353	1
211	353	1
212	353	1
212	354	1
212	354	1
212	354	1
212	355	1
212	355	1
212	355	1
212	357	1
209	356	1
206	355	1
202	353	1
196	351	1
184	342	1
176	337	1
166	332	1
162	328	1
158	327	1
156	324	1
154	324	1
152	323	1
152	323	1
152	321	1
150	321	1
152	322	1
152	322	1
152	321	1
152	321	1
152	321	1
152	322	1
152	322	1
152	322	1
154	322	1
156	323	1
156	324	1
158	324	1
158	324	1
160	323	1
160	324	1
160	324	1
160	324	1
162	324	1
166	324	1
168	326	1
168	326	1
168	326	1
168	327	1
166	327	1
166	327	1
166	327	1
166	327	1
166	327	1
166	328	1
166	328	1
164	328	1
164	328	1
164	328	1
164	328	1
164	328	1
164	328	1
164	328	1
164	328	1
164	328	1
166	328	1
166	328	1
168	328	1
168	328	1
168	328	1
168	328	1
170	330	1
170	331	1
172	331	1
174	331	1
174	331	1
176	332	1
176	332	1
174	332	1
176	332	1
176	332	1
176	332	1
176	333	1
176	333	1
176	333	1
176	333	1
176	333	1
176	333	1
176	332	1
176	332	1
176	332	1
176	332	1
176	331	1
176	331	1
176	331	1
176	330	1
176	330	1
176	330	1
176	330	1
178	328	1
178	328	1
178	328	1
178	328	1
178	328	1
178	328	1
178	328	1
180	328	1
178	331	1
178	331	1
176	331	1
176	331	1
176	331	1
176	331	1
176	331	1
176	331	1
174	331	1
174	331	1
174	331	1
172	331	1
172	331	1
174	330	1
172	330	1
172	331	1
172	331	1
172	331	1
174	331	1
174	331	1
176	332	1
176	333	1
176	333	1
176	333	1
176	333	1
176	335	1
174	336	1
176	337	1
176	337	1
176	339	1
176	340	1
176	341	1
176	342	1
174	342	1
174	344	1
172	345	1
172	344	1
174	345	1
174	346	1
174	346	1
174	346	1
176	348	1
178	349	1
178	350	1
180	352	1
184	354	1
192	357	1
198	358	1
204	360	1
206	361	1
208	361	1
212	362	1
212	363	1
212	363	1
210	364	1
210	364	1
209	364	1
209	364	1
209	364	1
208	364	1
207	363	1
206	363	1
204	362	1
204	362	1
202	362	1
204	362	1
204	362	1
204	361	1
204	361	1
202	360	1
204	359	1
202	358	1
202	358	1
202	357	1
202	357	1
200	355	1
200	355	1
202	356	1
200	356	1
200	356	1
200	356	1
200	356	1
200	356	1
200	356	1
200	357	1
200	357	1
202	359	1
202	359	1
203	361	1
204	362	1
206	363	1
208	363	1
208	364	1
209	365	1
212	365	1
214	366	1
213	366	1
212	366	1
212	367	1
213	367	1
213	367	1
213	367	1
212	367	1
212	368	1
214	367	1
214	367	1
212	368	1
210	368	1
208	367	1
206	367	1
204	366	1
202	366	1
200	365	1
196	365	1
190	362	1
180	356	1
174	352	1
174	352	1
174	351	1
174	350	1
172	349	1
172	349	1
174	350	1
174	350	2
172	350	2
172	350	2
170	350	2
170	350	2
168	350	2
168	351	2
168	352	2
166	352	2
166	353	2
166	353	2
166	354	2
166	356	2
168	357	2
168	359	2
168	358	2
166	357	2
168	357	2
172	359	2
174	360	2
174	361	2
176	362	2
180	365	1
184	365	1
186	367	1
186	367	1
184	367	1
184	367	1
186	370	1
186	370	1
188	371	1
192	374	1
199	379	1
198	379	1
198	379	1
198	379	1
198	379	1
198	379	1
197	379	1
196	379	1
196	379	1
198	380	1
198	380	1
198	380	1
198	379	1
198	380	1
198	380	1
196	379	1
193	379	1
192	379	1
190	379	1
190	380	1
190	383	1
188	383	1
186	384	1
190	388	1
193	388	1
192	388	1
190	388	1
192	388	1
194	388	1
198	388	1
200	388	1
201	389	1
202	388	1
204	388	1
204	388	1
205	388	1
205	385	1
206	384	1
206	383	1
204	381	1
204	380	1
204	379	1
204	379	1
204	379	1
203	377	1
201	376	1
200	375	1
201	375	1
201	374	1
200	374	1
200	374	1
200	372	1
