h	w	p
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
215	359	1
198	358	1
204	365	1
209	392	4
184	274	5
106	297	5
108	301	3
110	301	3
110	301	3
110	303	3
112	304	3
112	305	3
112	306	3
112	305	3
112	305	3
92	458	3
92	458	3
92	458	3
90	458	3
90	458	5
90	458	5
88	458	5
88	458	4
88	458	4
88	458	4
88	460	4
88	460	4
86	460	4
88	460	4
88	460	4
309	324	5
88	460	5
88	460	5
90	460	5
313	324	5
313	324	5
315	325	5
305	546	5
305	546	5
305	547	4
306	547	4
306	548	4
307	548	4
307	549	4
307	550	5
307	550	5
308	550	5
307	550	5
319	326	5
319	326	5
92	451	4
92	451	4
92	451	4
92	451	4
92	452	4
92	452	4
92	453	4
92	453	4
321	324	4
323	324	5
92	455	5
92	455	5
92	455	4
92	455	4
92	454	4
92	454	4
92	454	4
92	453	4
92	453	4
92	453	4
92	453	4
92	452	4
92	452	4
92	452	4
94	452	4
94	452	4
94	452	4
96	452	5
96	452	5
96	453	5
98	453	5
98	453	5
98	454	5
339	325	5
339	325	5
339	325	5
341	324	5
102	454	4
102	453	4
102	453	4
104	454	4
104	453	4
104	454	4
104	454	4
104	453	4
106	454	4
106	453	4
106	453	4
106	453	3
106	454	3
106	454	4
108	455	4
108	455	5
108	455	5
108	455	5
106	455	5
106	455	5
106	455	5
106	455	5
345	325	5
345	325	5
345	325	5
345	325	6
345	325	6
345	325	6
343	325	5
345	326	5
345	326	5
345	326	5
345	326	5
100	452	5
100	452	5
100	452	5
100	452	5
345	326	5
345	325	5
100	452	4
100	453	5
345	324	5
345	324	6
345	324	6
345	324	6
345	324	6
345	324	6
345	323	6
332	566	6
332	566	6
332	566	6
332	566	6
333	566	6
333	566	6
333	566	6
333	566	6
332	565	6
332	565	6
332	565	6
332	565	6
106	464	6
106	464	6
106	464	6
106	464	6
106	464	6
106	463	6
106	463	6
106	462	5
106	462	5
106	462	5
106	462	5
106	462	5
106	462	5
106	462	5
106	462	5
106	461	5
104	460	5
331	564	5
331	564	5
331	564	5
331	564	5
331	564	5
331	564	5
331	564	5
331	564	5
331	564	5
331	564	5
330	564	5
330	564	5
330	564	5
330	565	5
331	565	5
331	565	5
92	443	5
92	443	4
92	443	4
92	442	4
92	442	4
92	442	4
94	442	4
94	442	4
94	442	4
94	440	4
94	442	4
333	565	4
333	566	4
333	566	4
333	566	4
333	566	4
333	566	4
333	566	4
333	566	4
333	566	4
333	566	4
333	566	4
333	566	4
333	566	4
333	567	4
333	568	4
334	568	5
335	568	6
335	569	7
140	270	6
144	269	4
148	268	2
152	267	2
156	267	2
156	265	2
158	265	2
160	265	2
160	265	2
162	265	2
164	267	2
162	265	2
162	265	2
162	265	2
162	265	2
162	265	2
162	265	2
162	265	2
162	264	2
162	264	2
162	264	2
162	264	2
162	263	2
160	261	2
160	261	2
160	261	2
162	261	2
162	261	2
162	261	2
162	261	2
162	261	2
162	261	2
162	261	2
163	261	2
164	261	2
164	261	2
164	261	2
164	261	2
164	261	2
164	261	2
164	261	2
164	261	2
164	261	2
164	261	2
164	260	2
164	260	2
164	260	2
164	259	2
164	259	2
164	259	2
164	259	2
163	259	2
163	259	2
162	259	2
162	259	2
163	259	2
162	259	2
162	259	2
162	259	2
162	259	2
162	259	2
162	259	2
162	259	2
162	260	2
162	259	2
162	259	2
162	259	1
162	259	1
160	259	1
160	259	1
160	259	1
160	259	1
159	259	1
158	258	1
158	258	1
156	256	2
156	256	1
154	256	1
154	256	1
154	256	1
154	256	1
152	256	1
152	256	1
152	258	2
152	256	2
150	256	2
150	256	2
150	256	2
150	256	2
150	256	2
152	258	2
152	259	2
152	259	2
152	259	2
152	258	2
152	258	2
152	258	2
152	256	2
152	256	2
152	256	2
152	256	2
152	256	1
154	256	1
154	256	1
154	256	1
154	256	2
154	256	1
154	256	1
155	256	1
156	256	1
156	256	2
158	256	2
158	256	2
158	256	2
160	256	2
160	256	3
162	256	3
162	256	3
162	256	3
164	256	3
166	256	3
166	256	3
166	256	3
166	256	3
166	256	3
166	256	3
164	255	3
165	256	3
166	256	3
166	256	3
164	255	3
160	252	3
160	250	3
297	301	2
297	303	3
297	304	3
158	243	3
116	536	3
114	533	3
114	530	2
114	530	2
114	529	2
114	527	2
114	521	2
114	515	2
114	512	2
112	510	2
112	506	2
112	502	2
110	500	2
110	496	2
110	493	2
110	492	2
110	491	2
112	491	2
112	489	2
114	491	1
114	491	1
114	491	1
114	493	1
114	493	1
114	494	1
114	494	1
114	496	1
114	496	1
114	496	1
116	497	1
116	498	1
116	498	1
116	498	1
116	498	1
116	498	1
116	497	1
116	497	1
116	496	1
116	496	1
116	496	1
116	496	1
118	496	1
118	494	1
120	493	1
122	492	1
122	491	1
122	488	1
124	487	1
124	484	1
124	482	1
124	479	1
124	476	1
124	473	1
122	470	1
122	469	1
120	469	1
120	469	1
120	469	1
120	469	1
120	469	1
120	470	2
120	470	2
120	470	2
120	471	2
122	473	2
122	474	2
122	475	2
122	478	2
122	480	2
124	482	2
124	487	2
126	491	2
126	493	2
128	496	2
128	501	2
130	511	2
130	523	2
128	532	2
128	537	2
128	541	2
126	545	2
126	550	1
124	554	2
124	556	1
120	560	1
118	563	2
118	564	2
116	568	2
116	568	2
