episode	scene	segment	onset	offset	duration	ONbond_location	ONbond_charact_entry	ONbond_charact_leave	ONbond_time_jump	ONbond_goal_change	ONbond_music_transit	ONbond_theme_song	ONbond_end	OFFbond_location	OFFbond_charact_entry	OFFbond_charact_leave	OFFbond_time_jump	OFFbond_goal_change	OFFbond_music_transit	OFFbond_theme_song	OFFbond_end	loc_apt1_Mon_Rach	loc_apt2_Chan_Joey	loc_apt3_Ross	loc_apt4_Pheob_Rach	loc_coffeeshop	loc_outside	loc_other
s1e04b	1	1	0	30	30	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True
s1e04b	2	2	30	33	3	False	False	False	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s1e04b	3	3	33	80	47	True	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True
s1e04b	4	4	80	114	34	True	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	True	False	False	False	False	False	False
s1e04b	4	5	114	177	63	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False
s1e04b	4	6	177	226	49	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False
s1e04b	5	7	226	296	70	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True
s1e04b	6	8	296	352	56	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False
s1e04b	7	9	352	360	8	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True
s1e04b	8	10	360	370	10	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False
s1e04b	9	11	370	375	5	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True
s1e04b	10	12	375	385	10	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False
s1e04b	11	13	385	396	11	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True
s1e04b	12	14	396	405	9	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False
s1e04b	13	15	405	486	81	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True
s1e04b	14	16	486	552	66	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False
s1e04b	14	17	552	568	16	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False
s1e04b	15	18	568	586	18	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True
s1e04b	15	19	586	615	29	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True
s1e04b	15	20	615	656	41	False	False	False	False	True	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True
s1e04b	16	21	656	668	12	True	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False
s1e04b	16	22	668	704	36	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False
s1e04b	16	23	704	740	36	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False
