onset	duration	onset_frame
0.000	0.133	1
0.133	6.073	5
6.206	4.371	187
10.577	8.742	318
19.319	3.937	580
23.257	4.538	698
27.794	5.239	834
33.033	7.174	991
40.207	4.738	1206
44.945	6.874	1348
51.818	1.535	1554
53.353	6.940	1600
60.294	2.502	1808
62.796	3.570	1883
66.366	3.804	1990
70.170	1.802	2104
71.972	1.401	2158
73.373	6.440	2200
79.813	4.505	2393
84.318	2.402	2528
86.720	3.303	2600
90.023	6.273	2699
96.296	3.003	2887
99.299	1.835	2977
101.134	1.902	3032
103.036	2.936	3089
105.973	1.268	3177
107.240	1.635	3215
108.875	2.069	3264
110.944	5.973	3326
116.917	3.437	3505
120.354	9.209	3608
129.563	2.202	3884
131.765	4.638	3950
136.403	5.005	4089
141.408	2.669	4239
144.077	1.602	4319
145.679	8.342	4367
154.021	4.771	4617
158.792	6.006	4760
164.798	10.844	4940
175.642	6.139	5265
181.782	2.769	5449
184.551	1.635	5532
186.186	2.002	5581
188.188	18.585	5641
206.773	2.169	6198
208.942	10.210	6263
219.152	6.373	6569
225.525	3.837	6760
229.362	8.742	6875
238.105	6.573	7137
244.678	2.569	7334
247.247	1.802	7411
249.049	4.104	7465
253.153	4.872	7588
258.024	1.768	7734
259.793	2.202	7787
261.995	2.402	7853
264.397	4.271	7925
268.668	1.935	8053
270.604	3.337	8111
273.940	3.871	8211
277.811	9.910	8327
287.721	2.502	8624
290.223	4.671	8699
294.895	6.840	8839
301.735	2.502	9044
304.237	2.870	9119
307.107	5.706	9205
312.812	5.372	9376
318.185	2.836	9537
321.021	7.574	9622
328.595	1.635	9849
330.230	4.972	9898
335.202	3.904	10047
339.105	6.440	10164
345.545	1.468	10357
347.013	7.274	10401
354.287	12.479	10619
366.766	3.971	10993
370.737	2.236	11112
372.973	7.474	11179
380.447	2.469	11403
382.916	3.937	11477
386.853	8.075	11595
394.928	1.735	11837
396.663	11.411	11889
408.074	1.869	12231
409.943	4.638	12287
414.581	1.368	12426
415.949	0.934	12467
416.883	4.404	12495
421.288	2.903	12627
424.190	4.104	12714
428.295	1.602	12837
429.896	5.138	12885
435.035	1.201	13039
436.236	1.235	13075
437.470	6.240	13112
443.710	3.737	13299
447.447	2.536	13411
449.983	3.337	13487
453.320	7.774	13587
461.094	1.635	13820
462.729	1.435	13869
464.164	14.648	13912
478.812	16.583	14351
495.395	3.470	14848
498.865	1.768	14952
500.633	2.603	15005
503.236	4.771	15083
508.007	1.535	15226
509.542	4.905	15272
514.447	4.238	15419
518.685	5.038	15546
523.723	4.404	15697
528.128	2.703	15829
530.830	2.169	15910
532.999	8.575	15975
541.574	1.401	16232
542.976	1.835	16274
544.811	2.870	16329
547.680	3.403	16415
551.084	1.702	16517
552.786	1.568	16568
554.354	5.305	16615
559.659	2.836	16774
562.495	8.675	16859
571.171	2.803	17119
573.973	10.077	17203
584.050	3.570	17505
587.620	5.305	17612
592.926	3.737	17771
596.663	5.939	17883
602.602	3.103	18061
605.705	2.603	18154
608.308	2.803	18232
611.111	7.341	18316
618.451	5.772	18536
624.224	2.269	18709
626.493	7.875	18777
634.367	9.476	19013
643.843	3.003	19297
646.846	4.705	19387
651.551	2.135	19528
653.686	2.069	19592
655.755	1.335	19654
657.090	3.303	19694
660.393	2.169	19793
662.562	3.203	19858
665.765	2.135	19954
667.901	2.369	20018
670.270	2.135	20089
672.405	12.980	20153
685.385	6.773	20542
692.158	4.538	20745
696.696	2.636	20881
699.332	6.406	20960
705.738	2.236	21152
707.974	4.004	21219
711.978	6.273	21339
718.251	2.469	21527
720.720	3.203	21601
723.923	10.477	21697
