episode	scene	segment	onset	offset	duration	raw_descriptor	caption_eng	caption_fr	ONbond_location	ONbond_charact_entry	ONbond_charact_leave	ONbond_time_jump	ONbond_goal_change	ONbond_music_transit	ONbond_theme_song	OFFbond_location	OFFbond_charact_entry	OFFbond_charact_leave	OFFbond_time_jump	OFFbond_goal_change	OFFbond_music_transit	OFFbond_theme_song	OFFbond_end	loc_apt1_Mon_Rach	loc_apt2_Chan_Joey	loc_apt3_Ross	loc_apt4_Phoeb_Rach	loc_coffeeshop	loc_outside	loc_other
s4e23c	1	1	0.0	85.0	85.0	end of previous	end of scene	fin de scène	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True
s4e23c	2	2	85.0	88.0	3.0	transition	transition	transition	False	False	False	False	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s4e23c	3	3	88.0	152.0	64.0		Ross' parents meet Emily's parents and they give them the bill for the wedding.	Les parents de Ross rencontrent les parents d'Emily et ils leurs remettent la facture pour le mariage.	True	False	False	True	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True
s4e23c	3	4	152.0	196.0	44.0		Joey feels far from home and would like to go back.	Joey se sent loin de chez lui et aimerait rentrer.	False	True	False	False	True	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	True
s4e23c	3	5	196.0	242.0	46.0		Jack Geller is furious about the wedding bill and Ross suggests he go talk to Emily's father and avoid arguments.	Jack Geller est furieux de la facture à payer pour le mariage et Ross lui propose d'aller parler au père d'Emily et éviter les disputes.	False	False	True	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True
s4e23c	4	6	242.0	245.0	3.0	transition	transition	transition	False	False	False	False	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s4e23c	5	7	245.0	310.0	65.0		Rachel tries to negotiate with what she has to fly, but it doesn't work (not enough money AND no passport).	Rachel essaye de négocier avec ce qu'elle possède pour prendre l'avion, mais ça ne fonctionne pas (pas assez d'argent ET pas de passeport).	True	False	False	True	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True
s4e23c	6	8	310.0	347.0	37.0		Ross negotiates with Emily's parents for the bill.	Ross négocie avec les parents d'Emily pour la facture.	True	False	False	True	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True
s4e23c	7	9	347.0	369.0	22.0		Rachel gets her passport back home and ignores what Phoebe is trying to tell her.	Rachel récupère son passeport chez elle et ignore ce que Phoebe essaye de lui dire. 	True	False	False	True	False	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	False
s4e23c	8	10	369.0	411.0	42.0		Chandler makes his speech, but the audience seems to be hard to get a reaction from.	Chandler fait son discours, mais le public semble difficile à faire réagir.	True	False	False	True	False	False	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	True
