start_time	word
268.6	go
268.7	take
268.8	a
268.9	bath.
269.2	Yes,
269.5	we
269.9	are,
270.2	aren't
270.4	we?
270.6	Yes,
270.8	we
271.0	are.
272.1	They're
272.5	still
272.7	just
272.9	friends,
273.4	right?
278.3	And
278.5	I
278.7	will
278.9	see
279.1	you
279.3	tomorrow.
280.7	That's
280.9	right.
281.1	You're
281.3	gonna
281.5	spend
281.7	tomorrow
281.9	at
282.1	Aunt
282.3	Rachel's,
282.5	aren't
282.7	you?
284.0	Hang
284.4	on,
284.7	hang
285.1	on.
285.4	Does
285.8	Aunt
286.1	Monica
286.5	get
286.8	a
287.0	say
287.2	in
287.4	this?
287.4	Please,
287.4	Aunt
287.5	Monica,
287.7	please?
287.9	Ha,
288.1	ha.
290.0	Oh,
292.0	unclench.
294.0	You're
296.0	not
298.0	even
300.0	gonna
302.0	be
304.0	here.
299.4	I
299.6	can't
299.8	believe
300.0	we're
300.5	having
300.7	this
300.9	discussion.
301.6	I
301.9	agree.
302.4	I'm,
302.6	like,
302.8	in
303.4	disbelief.
305.4	Don't
306.0	you
306.1	think
306.3	if
306.6	things
306.8	were
306.9	gonna
307.0	happen
307.0	with
307.3	Rachel,
307.5	they
307.8	would've
308.0	happened?
309.0	I'm
309.4	telling
309.7	you,
310.0	she
310.2	said
310.3	she's
310.6	looking
310.8	for
311.2	a
311.2	relationship...
311.7	...with
311.9	someone
312.1	exactly
312.3	like
312.5	me.
313.9	She
314.1	really
314.3	said
314.5	that?
315.5	Well,
315.9	I
316.1	added
316.4	the
316.6	"""exactly"
316.9	like
317.1	"me"""
317.4	part.
319.0	But
319.3	she
319.5	said
319.8	she's
320.1	looking
320.3	for
320.6	someone.
320.9	And
321.1	someone
321.4	is
321.6	gonna
321.8	be
322.0	there
322.3	tonight.
323.7	"""Tonight"""
323.9	tonight?
325.4	Well,
325.6	I
325.9	think
326.1	it's
326.4	perfect.
326.9	It's
327.3	just
327.5	gonna
327.7	be
327.8	the
327.8	two
328.0	of
328.2	us.
328.3	She
330.3	spent
