h	w	p
130	375	2
128	374	2
126	374	2
124	374	2
122	374	1
120	374	1
120	374	1
120	374	1
118	374	1
116	374	1
114	374	1
114	373	1
112	372	1
110	372	1
108	371	1
106	371	1
106	372	1
106	373	1
104	372	1
104	372	1
102	372	1
104	374	1
102	374	1
102	374	1
102	375	1
100	375	1
102	377	1
100	379	1
100	379	1
100	379	1
98	380	1
98	381	1
98	381	1
96	381	1
96	383	1
94	383	1
94	383	1
94	383	1
92	383	1
90	383	1
90	383	1
90	383	1
90	383	1
88	383	1
88	383	1
88	382	1
86	382	1
86	381	1
84	380	1
84	379	1
84	379	1
84	379	2
84	379	2
84	379	2
86	377	2
86	378	2
90	377	2
154	356	2
154	356	2
154	356	2
90	379	2
152	358	2
150	359	2
88	383	2
88	384	2
86	388	2
88	390	2
86	392	1
86	394	1
86	397	1
86	397	2
86	401	1
88	401	1
90	402	1
90	403	1
90	404	1
92	404	1
94	406	1
94	406	1
94	406	1
96	406	1
96	405	1
96	403	1
98	402	1
98	401	1
100	401	1
102	399	1
104	397	1
106	393	1
108	392	1
112	388	1
114	386	2
116	383	2
118	377	2
120	374	4
122	371	4
124	368	4
124	367	4
124	365	4
124	363	4
124	361	4
124	359	4
122	358	4
122	356	4
122	354	4
122	352	3
122	350	2
120	349	2
120	347	2
120	345	2
118	343	2
118	341	2
118	339	2
116	337	2
116	335	2
116	332	2
116	331	2
116	331	2
116	331	2
118	330	2
118	330	2
118	330	3
118	330	2
118	330	2
178	456	2
176	455	2
174	451	2
172	447	1
170	442	1
168	437	1
166	433	1
164	428	1
164	424	1
164	424	1
166	424	1
166	424	1
166	419	1
164	415	1
166	406	1
170	398	1
172	389	1
174	383	1
174	375	1
174	370	1
174	365	1
174	362	1
174	359	1
174	356	1
175	354	1
176	351	1
176	349	1
176	346	1
178	342	1
178	337	1
180	333	1
180	331	1
180	328	1
181	324	1
181	324	1
180	324	1
180	328	1
178	332	1
176	337	1
174	342	1
172	346	1
170	351	1
168	354	1
168	357	1
168	359	1
168	361	1
168	365	1
168	366	1
168	370	1
168	372	1
168	375	1
168	379	1
168	383	1
170	386	1
170	390	1
172	392	1
172	395	1
174	398	1
174	401	1
176	401	1
176	402	1
176	403	1
176	406	1
176	407	1
176	410	1
176	411	1
176	415	1
176	415	1
176	416	1
176	416	1
176	419	1
176	419	1
176	420	1
174	421	1
174	424	1
174	424	1
