h	w	p
215	359	1
231	365	1
223	366	1
221	367	1
223	366	1
227	365	1
229	363	1
237	362	2
235	361	2
122	366	2
118	367	2
116	367	1
114	367	1
112	367	1
112	367	1
112	367	1
112	367	1
112	367	1
112	367	1
112	367	1
112	367	1
112	367	1
112	366	1
112	366	1
112	365	1
112	365	1
112	363	1
112	362	1
112	362	1
112	361	1
112	361	1
112	359	1
112	358	1
112	357	1
114	357	1
114	356	1
114	356	1
114	355	1
114	354	1
114	354	1
114	354	1
114	353	1
114	353	1
114	353	1
114	353	1
114	352	1
114	352	1
114	352	1
114	353	1
114	353	1
114	354	1
112	353	1
112	354	1
112	354	1
110	354	1
110	354	1
110	355	1
108	355	1
108	355	1
106	355	1
106	356	1
104	356	1
104	356	1
104	356	1
104	356	1
104	356	1
102	355	2
102	354	2
110	503	2
110	503	1
110	503	1
110	505	1
110	505	1
110	505	1
110	505	1
110	505	1
110	502	1
110	502	1
110	501	1
110	501	1
110	500	1
110	500	1
110	500	1
110	500	1
110	500	1
110	500	1
108	498	1
108	496	1
108	496	1
108	496	1
108	496	1
108	496	1
108	496	1
108	497	1
108	497	1
108	498	1
108	500	1
108	500	1
108	500	1
108	501	1
108	501	1
108	501	1
108	501	1
108	502	1
108	502	1
108	502	1
108	502	1
108	503	1
108	503	1
108	505	1
108	505	1
108	505	1
108	505	1
108	505	1
108	505	1
108	505	1
108	505	1
108	505	1
108	505	1
108	505	1
108	502	1
108	502	1
108	502	1
108	501	1
108	501	1
108	501	1
108	501	1
110	501	1
110	501	1
110	501	1
110	501	1
110	501	1
110	501	1
110	501	1
110	501	2
96	358	2
96	359	2
98	360	1
98	361	1
98	361	1
98	361	1
98	361	1
100	361	1
100	361	1
100	361	1
100	360	1
100	360	1
100	359	1
100	359	1
100	359	1
100	359	1
100	359	1
100	359	1
100	359	1
100	359	1
100	359	1
100	359	1
100	359	1
100	359	1
100	359	1
100	359	1
102	360	1
102	360	1
102	360	1
102	360	1
102	361	1
102	361	1
102	361	1
102	361	1
102	361	1
104	361	1
104	361	1
104	361	1
104	361	1
104	360	1
104	359	1
106	360	1
106	360	1
106	359	1
106	359	1
106	359	1
106	359	1
106	359	1
106	359	1
106	359	1
106	359	1
106	359	1
106	358	1
106	358	1
106	358	1
106	357	1
104	356	2
104	355	2
108	506	2
108	506	1
108	505	1
108	505	1
108	505	1
106	505	1
106	505	1
106	505	1
106	505	1
106	503	1
106	502	1
106	502	1
106	502	1
106	501	1
106	501	1
106	501	1
106	501	1
106	500	1
106	500	1
106	500	1
106	500	1
106	500	1
108	500	1
108	500	1
108	498	1
108	498	1
108	500	1
108	500	1
108	500	1
108	500	1
108	500	1
108	500	1
108	500	1
108	501	1
108	501	1
108	501	1
108	502	1
108	502	1
108	503	1
108	503	1
108	505	1
106	505	1
106	505	2
106	505	2
104	366	2
104	367	1
104	367	1
104	367	1
104	367	1
104	367	1
104	367	1
106	367	1
106	367	1
106	367	1
106	367	1
106	368	1
106	368	1
108	368	1
108	368	1
108	368	1
108	368	1
108	368	1
108	368	1
108	368	1
108	368	1
108	370	1
108	370	1
110	370	1
108	368	1
108	368	1
108	368	1
108	368	1
108	368	1
108	368	1
108	368	1
108	368	1
108	367	1
108	367	1
108	366	1
108	365	1
108	365	1
108	363	1
108	363	1
108	362	1
108	361	1
108	361	1
108	360	1
108	359	1
108	358	1
110	358	1
110	357	1
110	356	1
110	356	1
110	356	1
110	356	1
110	356	1
112	356	1
112	356	1
112	356	1
112	355	1
112	355	1
112	355	1
112	356	1
112	356	1
112	356	1
112	356	1
112	356	1
112	356	1
112	357	1
112	356	1
112	356	1
112	356	1
110	356	2
96	510	2
96	509	2
96	509	1
96	509	1
96	509	1
96	509	1
98	509	1
98	509	1
98	509	1
98	509	1
98	509	1
98	509	1
98	509	1
96	506	1
96	506	1
96	506	1
96	506	1
96	506	1
96	506	1
96	506	1
96	506	1
96	506	1
96	506	1
96	505	1
96	505	1
98	506	1
98	506	1
100	509	1
102	509	1
102	509	1
102	509	1
102	509	1
102	509	1
102	510	1
102	510	1
102	511	1
102	512	1
104	514	1
104	516	1
104	517	1
104	518	1
106	518	1
106	520	1
108	521	1
108	523	1
108	524	1
110	525	1
110	526	1
110	528	1
112	529	1
114	530	1
116	532	1
116	533	1
118	536	1
120	536	1
122	537	1
122	537	1
124	539	1
126	541	1
126	541	1
128	541	1
128	541	1
128	542	1
128	542	1
128	543	1
128	543	1
128	543	1
128	543	1
130	543	1
130	543	1
130	543	1
128	543	1
130	542	1
130	541	1
128	541	1
128	541	1
128	541	1
128	539	1
128	541	1
126	541	1
124	541	1
122	541	1
122	541	1
120	539	1
116	541	1
114	543	1
114	545	1
116	550	1
116	555	1
116	559	1
118	563	1
120	563	1
120	563	1
122	564	1
120	565	1
122	565	1
124	563	1
124	564	1
124	564	1
126	563	1
126	559	1
128	554	1
128	551	1
128	550	1
128	545	1
130	541	1
130	539	1
132	536	1
132	534	1
134	532	1
136	528	2
122	244	3
124	242	3
124	241	3
124	240	2
126	239	2
126	239	2
126	238	2
126	238	2
126	237	2
126	237	2
126	236	2
126	234	3
126	232	3
126	229	3
126	227	3
126	224	3
88	448	3
86	452	3
86	455	3
84	458	3
84	462	3
86	464	3
86	464	3
86	464	3
88	467	3
88	469	3
90	471	3
92	473	3
92	474	3
92	476	3
94	478	3
96	478	3
98	478	3
98	480	3
98	482	2
100	483	2
102	483	3
102	484	3
100	487	2
100	487	3
100	489	3
100	491	3
100	491	3
100	496	3
100	497	3
102	501	3
102	502	3
102	505	3
100	511	3
104	518	3
104	527	3
106	529	3
104	536	3
102	541	3
100	545	3
100	548	3
98	550	3
98	550	2
98	550	2
98	550	2
98	550	2
100	548	2
100	547	2
100	546	2
100	545	2
102	542	2
102	541	2
102	539	2
104	538	2
106	536	2
106	534	3
108	532	3
130	126	2
130	126	2
131	126	2
131	126	2
131	125	2
131	125	2
131	126	2
131	126	2
132	126	2
131	125	2
131	125	2
131	125	2
131	125	3
131	125	3
131	125	3
122	497	4
124	496	4
126	492	4
128	491	4
130	488	4
132	488	4
134	487	4
140	485	4
144	484	3
146	483	3
146	483	3
150	483	4
156	482	3
166	480	3
170	479	3
174	480	3
180	479	3
186	479	3
192	478	3
196	478	2
198	478	2
200	475	2
201	474	2
202	473	1
203	473	2
203	473	1
202	473	1
203	473	1
203	473	1
203	475	2
202	478	2
202	478	2
202	479	2
202	482	4
202	482	5
202	484	5
194	406	5
194	404	5
192	403	5
191	402	5
190	401	4
189	401	4
189	398	4
391	527	4
391	527	4
389	527	4
389	527	3
389	527	3
389	526	3
387	525	3
387	525	3
387	525	3
387	525	3
387	524	3
387	524	3
387	524	4
387	524	4
148	319	4
144	321	2
138	324	1
136	326	1
134	326	1
134	327	1
132	327	1
134	328	1
134	328	1
134	328	1
134	328	1
134	330	1
134	331	1
134	333	1
134	335	1
134	336	1
134	337	1
134	339	1
134	341	1
132	343	1
134	345	1
134	348	1
134	350	1
136	355	1
132	361	1
132	365	1
130	370	1
130	379	1
132	383	1
130	383	1
130	384	1
130	386	1
128	387	1
128	388	1
128	388	1
128	388	1
128	388	1
128	388	1
128	388	1
128	388	1
128	388	1
130	388	1
130	388	1
130	388	1
130	388	1
132	388	1
134	388	1
136	388	1
138	389	1
140	388	1
142	386	1
142	384	1
144	383	1
144	381	1
144	375	1
144	372	1
144	368	1
144	365	1
146	364	1
144	362	1
144	361	1
144	359	1
144	357	1
144	356	1
144	356	1
146	355	1
148	354	1
150	351	2
180	452	2
178	448	2
176	446	1
178	446	1
176	443	1
174	442	1
172	442	1
168	442	1
168	442	1
168	442	1
166	446	1
158	448	1
150	452	1
148	453	1
148	455	1
144	455	1
134	460	1
124	473	1
120	478	1
124	492	1
126	500	1
124	509	1
124	514	1
126	518	1
124	519	1
126	518	1
126	520	1
126	521	1
126	523	1
126	521	1
128	519	1
128	518	1
130	516	1
130	516	1
130	514	1
130	512	1
130	511	1
130	509	1
130	507	1
128	505	1
128	500	2
126	318	2
126	318	1
128	319	1
128	321	1
128	321	1
126	321	1
126	322	1
128	323	1
128	324	1
128	324	1
128	324	1
128	324	1
128	324	1
128	324	1
126	324	1
126	323	1
124	323	1
124	322	1
124	319	1
124	318	1
124	315	1
126	315	1
126	313	1
124	310	1
124	309	1
124	306	1
124	306	1
124	306	1
122	306	1
120	306	1
120	306	1
120	306	1
118	306	1
118	309	1
118	309	1
118	310	1
116	314	1
116	317	1
114	319	1
114	322	1
114	324	1
116	332	1
120	340	1
122	346	1
128	356	2
134	361	2
138	362	2
140	366	2
142	372	2
247	367	3
247	366	3
249	365	3
247	366	3
243	367	3
241	365	2
241	361	2
239	357	2
237	351	2
237	350	2
235	351	3
339	611	4
321	336	5
319	337	5
317	337	5
317	339	5
134	330	3
134	332	3
134	333	2
134	335	1
134	339	1
136	341	1
136	342	1
134	342	1
134	340	1
134	340	1
132	340	1
132	338	1
132	337	1
130	341	1
128	345	1
124	348	1
120	353	1
116	356	1
112	360	1
108	363	1
102	368	1
100	370	1
98	372	1
96	374	1
96	376	1
96	379	1
96	380	1
96	380	1
98	381	1
98	383	1
98	383	1
98	384	1
98	385	1
100	388	1
100	390	1
102	392	1
102	393	1
102	397	1
102	401	1
102	406	1
102	410	1
100	415	1
102	419	1
100	424	1
100	428	1
100	433	1
100	439	1
102	443	1
100	448	1
100	452	1
100	453	2
122	259	2
122	264	1
120	267	1
120	269	1
120	269	1
118	269	1
118	268	1
116	268	1
114	268	1
112	265	1
112	261	1
112	260	1
110	259	1
108	257	1
106	254	1
106	252	1
102	246	1
102	243	1
102	241	1
102	239	1
102	237	1
102	236	1
102	234	1
102	233	1
104	231	1
104	230	1
106	229	1
106	228	1
106	227	1
108	225	1
108	225	1
108	224	1
110	223	1
110	222	1
110	220	1
110	220	1
110	220	1
110	219	1
110	218	1
112	218	1
110	216	1
110	216	1
110	215	1
112	215	1
112	215	1
114	215	1
114	214	1
114	214	1
116	213	1
116	213	1
116	213	1
118	211	1
118	211	1
118	211	1
118	211	1
118	211	1
120	211	1
120	213	1
120	213	1
120	215	1
120	216	1
120	216	1
120	218	1
120	219	1
120	220	1
120	220	1
120	223	1
120	224	1
120	225	1
120	227	1
122	229	1
122	232	1
122	236	1
122	239	1
122	241	1
122	244	1
120	255	2
120	265	2
112	337	3
112	337	2
116	348	2
114	365	2
112	370	2
108	374	1
104	379	1
100	384	1
98	386	1
96	388	1
96	392	1
94	395	2
94	397	2
94	397	2
94	398	2
94	399	2
96	401	2
122	183	2
120	184	2
120	184	2
120	184	2
120	184	2
120	184	2
120	186	2
120	184	2
120	184	2
120	184	2
116	406	2
118	403	2
122	401	2
124	401	2
126	399	2
130	397	2
136	392	2
138	392	2
140	392	1
142	390	1
144	389	1
144	390	1
146	392	1
146	392	1
148	394	1
148	397	1
150	401	1
148	406	1
146	410	1
148	415	1
148	419	1
140	428	2
134	439	2
132	447	3
132	456	3
128	473	3
